Date,Open,High,Low,Close,AdjClose,Volume
01/06/2022,4149.78,4166.54,4073.85,4101.23,4101.23,4531800000
02/06/2022,4095.41,4177.51,4074.37,4176.82,4176.82,4405790000
03/06/2022,4137.57,4142.67,4098.67,4108.54,4108.54,3711110000
06/06/2022,4134.72,4168.78,4109.18,4121.43,4121.43,4332700000
07/06/2022,4096.47,4164.86,4080.19,4160.68,4160.68,4248210000
08/06/2022,4147.12,4160.14,4107.2,4115.77,4115.77,4159470000
09/06/2022,4101.65,4119.1,4017.17,4017.82,4017.82,4134170000
10/06/2022,3974.39,3974.39,3900.16,3900.86,3900.86,4889640000
13/06/2022,3838.15,3838.15,3734.3,3749.63,3749.63,5636890000
14/06/2022,3763.52,3778.18,3705.68,3735.48,3735.48,5153890000
15/06/2022,3764.05,3837.56,3722.3,3789.99,3789.99,5530480000
16/06/2022,3728.18,3728.18,3639.77,3666.77,3666.77,5644930000
17/06/2022,3665.9,3707.71,3636.87,3674.84,3674.84,8520740000
21/06/2022,3715.31,3779.65,3715.31,3764.79,3764.79,5292260000
22/06/2022,3733.89,3801.79,3717.69,3759.89,3759.89,5058990000
23/06/2022,3774.71,3802.58,3743.52,3795.73,3795.73,5098640000
24/06/2022,3821.75,3913.65,3821.75,3911.74,3911.74,8120260000
27/06/2022,3920.76,3927.72,3889.66,3900.11,3900.11,4325310000
28/06/2022,3913,3945.86,3820.14,3821.55,3821.55,4270120000
29/06/2022,3825.09,3836.5,3799.02,3818.83,3818.83,4211240000
30/06/2022,3785.99,3818.99,3738.67,3785.38,3785.38,4840070000
01/07/2022,3781,3829.82,3752.1,3825.33,3825.33,4046950000
05/07/2022,3792.61,3832.19,3742.06,3831.39,3831.39,5076590000
06/07/2022,3831.98,3870.91,3809.37,3845.08,3845.08,4417720000
07/07/2022,3858.85,3910.63,3858.85,3902.62,3902.62,4057770000
08/07/2022,3888.26,3918.5,3869.34,3899.38,3899.38,3521620000
11/07/2022,3880.94,3880.94,3847.22,3854.43,3854.43,3423480000
12/07/2022,3851.95,3873.41,3802.36,3818.8,3818.8,3817210000
13/07/2022,3779.67,3829.44,3759.07,3801.78,3801.78,4109390000
14/07/2022,3763.99,3796.41,3721.56,3790.38,3790.38,4199690000
15/07/2022,3818,3863.62,3817.18,3863.16,3863.16,4143800000
18/07/2022,3883.79,3902.44,3818.63,3830.85,3830.85,4046870000
19/07/2022,3860.73,3939.81,3860.73,3936.69,3936.69,4041070000
20/07/2022,3935.32,3974.13,3922.03,3959.9,3959.9,4185300000
21/07/2022,3955.47,3999.29,3927.64,3998.95,3998.95,4132790000
22/07/2022,3998.43,4012.44,3938.86,3961.63,3961.63,3979240000
25/07/2022,3965.72,3975.3,3943.46,3966.84,3966.84,3568340000
26/07/2022,3953.22,3953.22,3910.74,3921.05,3921.05,3778950000
27/07/2022,3951.43,4039.56,3951.43,4023.61,4023.61,4112180000
28/07/2022,4026.13,4078.95,3992.97,4072.43,4072.43,4413000000
29/07/2022,4087.33,4140.15,4079.22,4130.29,4130.29,4616360000
01/08/2022,4112.38,4144.95,4096.02,4118.63,4118.63,4202810000
02/08/2022,4104.21,4140.47,4079.81,4091.19,4091.19,4727710000
03/08/2022,4107.96,4167.66,4107.96,4155.17,4155.17,4351760000
04/08/2022,4154.85,4161.29,4135.42,4151.94,4151.94,4283320000
05/08/2022,4115.87,4151.58,4107.31,4145.19,4145.19,4085940000
08/08/2022,4155.93,4186.62,4128.97,4140.06,4140.06,4221090000
09/08/2022,4133.11,4137.3,4112.09,4122.47,4122.47,3913090000
10/08/2022,4181.02,4211.03,4177.26,4210.24,4210.24,4546010000
11/08/2022,4227.4,4257.91,4201.41,4207.27,4207.27,4630200000
12/08/2022,4225.02,4280.47,4219.78,4280.15,4280.15,3788010000
15/08/2022,4269.37,4301.79,4256.9,4297.14,4297.14,3696830000
16/08/2022,4290.46,4325.28,4277.77,4305.2,4305.2,4329820000
17/08/2022,4280.4,4302.18,4253.08,4274.04,4274.04,3885030000
18/08/2022,4273.13,4292.53,4261.98,4283.74,4283.74,3340330000
19/08/2022,4266.31,4266.31,4218.7,4228.48,4228.48,3761340000
22/08/2022,4195.08,4195.08,4129.86,4137.99,4137.99,3907430000
23/08/2022,4133.09,4159.77,4124.03,4128.73,4128.73,3823520000
24/08/2022,4126.55,4156.56,4119.97,4140.77,4140.77,3583630000
25/08/2022,4153.26,4200.54,4147.59,4199.12,4199.12,3566870000
26/08/2022,4198.74,4203.04,4057.66,4057.66,4057.66,3832750000
29/08/2022,4034.58,4062.99,4017.42,4030.61,4030.61,3396510000
30/08/2022,4041.25,4044.98,3965.21,3986.16,3986.16,3835860000
31/08/2022,4000.67,4015.37,3954.53,3955,3955,4542490000
01/09/2022,3936.73,3970.23,3903.65,3966.85,3966.85,4152250000
02/09/2022,3994.66,4018.43,3906.21,3924.26,3924.26,3665850000
06/09/2022,3930.89,3942.55,3886.75,3908.19,3908.19,4127340000
07/09/2022,3909.43,3987.89,3906.03,3979.87,3979.87,3890320000
08/09/2022,3959.94,4010.5,3944.81,4006.18,4006.18,3966850000
09/09/2022,4022.94,4076.81,4022.94,4067.36,4067.36,3901940000
12/09/2022,4083.67,4119.28,4083.67,4110.41,4110.41,3814200000
13/09/2022,4037.12,4037.12,3921.28,3932.69,3932.69,4224550000
14/09/2022,3940.73,3961.94,3912.18,3946.01,3946.01,4293240000
15/09/2022,3932.41,3959.14,3888.28,3901.35,3901.35,4441830000
16/09/2022,3880.95,3880.95,3837.08,3873.33,3873.33,7954650000
19/09/2022,3849.91,3900.45,3838.5,3899.89,3899.89,3766850000
20/09/2022,3875.23,3876.01,3827.54,3855.93,3855.93,4058050000
21/09/2022,3871.4,3907.07,3789.49,3789.93,3789.93,4078330000
22/09/2022,3782.36,3790.9,3749.45,3757.99,3757.99,4284600000
23/09/2022,3727.14,3727.14,3647.47,3693.23,3693.23,5144270000
26/09/2022,3682.72,3715.67,3644.76,3655.04,3655.04,4886140000
27/09/2022,3686.44,3717.53,3623.29,3647.29,3647.29,4577740000
28/09/2022,3651.94,3736.74,3640.61,3719.04,3719.04,4684850000
29/09/2022,3687.01,3687.01,3610.4,3640.47,3640.47,4681810000
30/09/2022,3633.48,3671.44,3584.13,3585.62,3585.62,5645360000
03/10/2022,3609.78,3698.35,3604.93,3678.43,3678.43,4806680000
04/10/2022,3726.46,3791.92,3726.46,3790.93,3790.93,5146580000
05/10/2022,3753.25,3806.91,3722.66,3783.28,3783.28,4293180000
06/10/2022,3771.97,3797.93,3739.22,3744.52,3744.52,4252100000
07/10/2022,3706.74,3706.74,3620.73,3639.66,3639.66,4449660000
10/10/2022,3647.51,3652.17,3588.1,3612.39,3612.39,3834320000
11/10/2022,3595.86,3640.66,3568.45,3588.84,3588.84,4759030000
12/10/2022,3590.83,3608.34,3573.86,3577.03,3577.03,4006830000
13/10/2022,3520.37,3685.41,3491.58,3669.91,3669.91,5021680000
14/10/2022,3690.41,3712,3579.68,3583.07,3583.07,4243030000
17/10/2022,3638.65,3689.73,3638.65,3677.95,3677.95,4352780000
18/10/2022,3746.26,3762.79,3686.53,3719.98,3719.98,4483740000
19/10/2022,3703.11,3728.58,3666.51,3695.16,3695.16,4223800000
20/10/2022,3689.05,3736,3656.44,3665.78,3665.78,4496620000
21/10/2022,3657.1,3757.89,3647.42,3752.75,3752.75,5078020000
24/10/2022,3762.01,3810.74,3741.65,3797.34,3797.34,4747930000
25/10/2022,3799.44,3862.85,3799.44,3859.11,3859.11,4843120000
26/10/2022,3825.97,3886.15,3824.07,3830.6,3830.6,4817310000
27/10/2022,3834.69,3859.95,3803.79,3807.3,3807.3,4687320000
28/10/2022,3808.26,3905.42,3808.26,3901.06,3901.06,4459410000
31/10/2022,3881.85,3893.73,3863.18,3871.98,3871.98,4820620000
01/11/2022,3901.79,3911.79,3843.8,3856.1,3856.1,4481210000
02/11/2022,3852.9,3894.44,3758.68,3759.69,3759.69,4899000000
03/11/2022,3733.25,3750.59,3698.15,3719.89,3719.89,4625290000
04/11/2022,3766.98,3796.34,3708.84,3770.55,3770.55,5400180000
07/11/2022,3780.71,3813.95,3764.7,3806.8,3806.8,4341620000
08/11/2022,3817.02,3859.4,3786.28,3828.11,3828.11,4607640000
09/11/2022,3810.94,3818.2,3744.22,3748.57,3748.57,4645010000
10/11/2022,3859.89,3958.33,3859.89,3956.37,3956.37,5781260000
11/11/2022,3963.72,4001.48,3944.82,3992.93,3992.93,5593310000
14/11/2022,3977.97,4008.97,3956.4,3957.25,3957.25,4561930000
15/11/2022,4006.41,4028.84,3953.17,3991.73,3991.73,5015310000
16/11/2022,3976.82,3983.09,3954.34,3958.79,3958.79,4165320000
17/11/2022,3919.26,3954.33,3906.54,3946.56,3946.56,4051780000
18/11/2022,3966.39,3979.89,3935.98,3965.34,3965.34,4037360000
21/11/2022,3956.23,3962,3933.34,3949.94,3949.94,3850690000
22/11/2022,3965.51,4005.88,3956.88,4003.58,4003.58,3887990000
23/11/2022,4000.3,4033.78,3998.66,4027.26,4027.26,3279720000
25/11/2022,4023.34,4034.02,4020.76,4026.12,4026.12,1706460000
28/11/2022,4005.36,4012.27,3955.77,3963.94,3963.94,3615430000
29/11/2022,3964.19,3976.77,3937.65,3957.63,3957.63,3546040000
30/11/2022,3957.18,4080.11,3938.58,4080.11,4080.11,6579360000
01/12/2022,4087.14,4100.51,4050.87,4076.57,4076.57,4527130000
02/12/2022,4040.17,4080.48,4026.63,4071.7,4071.7,4012620000
05/12/2022,4052.02,4052.45,3984.49,3998.84,3998.84,4280820000
06/12/2022,3996.63,4001.51,3918.39,3941.26,3941.26,4368380000
07/12/2022,3933.28,3957.57,3922.68,3933.92,3933.92,4118050000
08/12/2022,3947.79,3974.19,3935.83,3963.51,3963.51,4006900000
09/12/2022,3954.17,3977.02,3933.04,3934.38,3934.38,3888260000
12/12/2022,3939.29,3990.71,3935.3,3990.56,3990.56,3904130000
13/12/2022,4069.38,4100.96,3993.03,4019.65,4019.65,5079360000
14/12/2022,4015.54,4053.76,3965.65,3995.32,3995.32,4472340000
15/12/2022,3958.37,3958.37,3879.45,3895.75,3895.75,4493900000
16/12/2022,3890.91,3890.91,3827.91,3852.36,3852.36,7493660000
19/12/2022,3853.79,3854.86,3800.04,3817.66,3817.66,3969610000
20/12/2022,3810.47,3838.24,3795.62,3821.62,3821.62,3985370000
21/12/2022,3839.49,3889.82,3839.49,3878.44,3878.44,3775200000
22/12/2022,3853.26,3853.26,3764.49,3822.39,3822.39,3956950000
23/12/2022,3815.11,3845.8,3797.01,3844.82,3844.82,2819280000
27/12/2022,3843.34,3846.65,3813.22,3829.25,3829.25,3030300000
28/12/2022,3829.56,3848.32,3780.78,3783.22,3783.22,3083520000
29/12/2022,3805.45,3858.19,3805.45,3849.28,3849.28,3003680000
30/12/2022,3829.06,3839.85,3800.34,3839.5,3839.5,2979870000
03/01/2023,3853.29,3878.46,3794.33,3824.14,3824.14,3959140000
04/01/2023,3840.36,3873.16,3815.77,3852.97,3852.97,4414080000
05/01/2023,3839.74,3839.74,3802.42,3808.1,3808.1,3893450000
06/01/2023,3823.37,3906.19,3809.56,3895.08,3895.08,3923560000
09/01/2023,3910.82,3950.57,3890.42,3892.09,3892.09,4311770000
10/01/2023,3888.57,3919.83,3877.29,3919.25,3919.25,3851030000
11/01/2023,3932.35,3970.07,3928.54,3969.61,3969.61,4303360000
12/01/2023,3977.57,3997.76,3937.56,3983.17,3983.17,4440260000
13/01/2023,3960.6,4003.95,3947.67,3999.09,3999.09,3939700000
17/01/2023,3999.28,4015.39,3984.57,3990.97,3990.97,4235560000
18/01/2023,4002.25,4014.16,3926.59,3928.86,3928.86,4298710000
19/01/2023,3911.84,3922.94,3885.54,3898.85,3898.85,3991500000
20/01/2023,3909.04,3972.96,3897.86,3972.61,3972.61,4013360000
23/01/2023,3978.14,4039.31,3971.64,4019.81,4019.81,3945210000
24/01/2023,4001.74,4023.92,3989.79,4016.95,4016.95,3320430000
25/01/2023,3982.71,4019.55,3949.06,4016.22,4016.22,3724020000
26/01/2023,4036.08,4061.57,4013.29,4060.43,4060.43,3809590000
27/01/2023,4053.72,4094.21,4048.7,4070.56,4070.56,3907760000
30/01/2023,4049.27,4063.85,4015.55,4017.77,4017.77,3802000000
31/01/2023,4020.85,4077.16,4020.44,4076.6,4076.6,4679320000
01/02/2023,4070.07,4148.95,4037.2,4119.21,4119.21,4856930000
02/02/2023,4158.68,4195.44,4141.88,4179.76,4179.76,5624360000
03/02/2023,4136.69,4182.36,4123.36,4136.48,4136.48,4694510000
06/02/2023,4119.57,4124.63,4093.38,4111.08,4111.08,4114240000
07/02/2023,4105.35,4176.54,4088.39,4164,4164,4355860000
